name	electrode_name	type	units	sampling_frequency
ch000	e000	n/a	V	-1.0
ch001	e001	n/a	V	-1.0
ch002	e002	n/a	V	-1.0
ch003	e003	n/a	V	-1.0
ch004	e004	n/a	V	-1.0
ch005	e005	n/a	V	-1.0
ch006	e006	n/a	V	-1.0
ch007	e007	n/a	V	-1.0
ch008	e008	n/a	V	-1.0
ch009	e009	n/a	V	-1.0
ch010	e010	n/a	V	-1.0
ch011	e011	n/a	V	-1.0
ch012	e012	n/a	V	-1.0
ch013	e013	n/a	V	-1.0
ch014	e014	n/a	V	-1.0
ch015	e015	n/a	V	-1.0
ch016	e016	n/a	V	-1.0
ch017	e017	n/a	V	-1.0
ch018	e018	n/a	V	-1.0
ch019	e019	n/a	V	-1.0
ch020	e020	n/a	V	-1.0
ch021	e021	n/a	V	-1.0
ch022	e022	n/a	V	-1.0
ch023	e023	n/a	V	-1.0
ch024	e024	n/a	V	-1.0
ch025	e025	n/a	V	-1.0
ch026	e026	n/a	V	-1.0
ch027	e027	n/a	V	-1.0
ch028	e028	n/a	V	-1.0
ch029	e029	n/a	V	-1.0
ch030	e030	n/a	V	-1.0
ch031	e031	n/a	V	-1.0
ch032	e032	n/a	V	-1.0
ch033	e033	n/a	V	-1.0
ch034	e034	n/a	V	-1.0
ch035	e035	n/a	V	-1.0
ch036	e036	n/a	V	-1.0
ch037	e037	n/a	V	-1.0
ch038	e038	n/a	V	-1.0
ch039	e039	n/a	V	-1.0
ch040	e040	n/a	V	-1.0
ch041	e041	n/a	V	-1.0
ch042	e042	n/a	V	-1.0
ch043	e043	n/a	V	-1.0
ch044	e044	n/a	V	-1.0
ch045	e045	n/a	V	-1.0
ch046	e046	n/a	V	-1.0
ch047	e047	n/a	V	-1.0
ch048	e048	n/a	V	-1.0
ch049	e049	n/a	V	-1.0
ch050	e050	n/a	V	-1.0
ch051	e051	n/a	V	-1.0
ch052	e052	n/a	V	-1.0
ch053	e053	n/a	V	-1.0
ch054	e054	n/a	V	-1.0
ch055	e055	n/a	V	-1.0
ch056	e056	n/a	V	-1.0
ch057	e057	n/a	V	-1.0
ch058	e058	n/a	V	-1.0
ch059	e059	n/a	V	-1.0
ch060	e060	n/a	V	-1.0
ch061	e061	n/a	V	-1.0
ch062	e062	n/a	V	-1.0
ch063	e063	n/a	V	-1.0
ch064	e064	n/a	V	-1.0
ch065	e065	n/a	V	-1.0
ch066	e066	n/a	V	-1.0
ch067	e067	n/a	V	-1.0
ch068	e068	n/a	V	-1.0
ch069	e069	n/a	V	-1.0
ch070	e070	n/a	V	-1.0
ch071	e071	n/a	V	-1.0
ch072	e072	n/a	V	-1.0
ch073	e073	n/a	V	-1.0
ch074	e074	n/a	V	-1.0
ch075	e075	n/a	V	-1.0
ch076	e076	n/a	V	-1.0
ch077	e077	n/a	V	-1.0
ch078	e078	n/a	V	-1.0
ch079	e079	n/a	V	-1.0
ch080	e080	n/a	V	-1.0
ch081	e081	n/a	V	-1.0
ch082	e082	n/a	V	-1.0
ch083	e083	n/a	V	-1.0
ch084	e084	n/a	V	-1.0
ch085	e085	n/a	V	-1.0
ch086	e086	n/a	V	-1.0
ch087	e087	n/a	V	-1.0
ch088	e088	n/a	V	-1.0
ch089	e089	n/a	V	-1.0
ch090	e090	n/a	V	-1.0
ch091	e091	n/a	V	-1.0
ch092	e092	n/a	V	-1.0
ch093	e093	n/a	V	-1.0
ch094	e094	n/a	V	-1.0
ch095	e095	n/a	V	-1.0
